Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","22uF","C_0805_2012Metric",-100.650000,-118.750000,180.000000,bottom
"C2","22uF","C_0805_2012Metric",-100.650000,-113.670000,0.000000,bottom
"C3","100n 50V X7R","C_0402_1005Metric",-93.096000,-138.590000,90.000000,bottom
"C4","100n 50V X7R","C_0402_1005Metric",-102.290800,-138.917600,0.000000,bottom
"C5","100n 50V X7R","C_0402_1005Metric",-125.783200,-89.692400,180.000000,bottom
"C6","100n 50V X7R","C_0402_1005Metric",-115.651200,-89.743200,90.000000,bottom
"C7","100n 50V X7R","C_0402_1005Metric",-150.906400,-149.433200,-90.000000,bottom
"C8","100n 50V X7R","C_0402_1005Metric",-139.148800,-149.890400,180.000000,bottom
"C9","100n 50V X7R","C_0402_1005Metric",-117.000000,-123.576000,0.000000,bottom
"C10","100n 50V X7R","C_0402_1005Metric",-126.900800,-123.423600,0.000000,bottom
"C11","100n 50V X7R","C_0402_1005Metric",-100.998000,-122.814000,0.000000,bottom
"C12","100n 50V X7R","C_0402_1005Metric",-101.125000,-109.606000,180.000000,bottom
"C13","68pF","C_0402_1005Metric",-93.096000,-136.710400,-90.000000,bottom
"C14","68pF","C_0402_1005Metric",-102.087600,-136.682400,-90.000000,bottom
"C15","68pF","C_0402_1005Metric",-102.138400,-140.441600,90.000000,bottom
"C16","68pF","C_0402_1005Metric",-115.575000,-87.762000,-90.000000,bottom
"C17","68pF","C_0402_1005Metric",-93.096000,-140.464400,90.000000,bottom
"C18","68pF","C_0402_1005Metric",-117.022800,-137.772000,90.000000,bottom
"C19","100n 50V X7R","C_0402_1005Metric",-117.327600,-135.615600,-90.000000,bottom
"C20","100n 50V X7R","C_0402_1005Metric",-126.900800,-135.920400,0.000000,bottom
"C21","68pF","C_0402_1005Metric",-124.465000,-88.044000,-90.000000,bottom
"C22","68pF","C_0402_1005Metric",-124.465000,-91.981000,90.000000,bottom
"C23","68pF","C_0402_1005Metric",-115.575000,-91.798000,90.000000,bottom
"C24","68pF","C_0402_1005Metric",-117.327600,-133.634400,-90.000000,bottom
"C25","100n 50V X7R","C_0402_1005Metric",-150.144400,-147.581600,-90.000000,bottom
"C26","68pF","C_0402_1005Metric",-149.230000,-152.125600,90.000000,bottom
"C28","68pF","C_0402_1005Metric",-140.390800,-152.250000,90.000000,bottom
"C29","100n 50V X7R","C_0402_1005Metric",-127.386000,-137.772000,90.000000,bottom
"C30","22uF","C_0805_2012Metric",-124.846000,-129.875200,90.000000,bottom
"D1","LM4040C50FTA","SOT-23",-107.996400,-123.865600,180.000000,bottom
"FB1","16V 150mA 0805 PTC Resettable Fuses ROHS","Fuse_0805_2012Metric",-100.637500,-121.290000,0.000000,bottom
"FB2","16V 150mA 0805 PTC Resettable Fuses ROHS","Fuse_0805_2012Metric",-100.637500,-111.130000,0.000000,bottom
"R1","22k","R_0603_1608Metric",-110.876000,-122.090600,-90.000000,bottom
"R2","1k","R_0603_1608Metric",-111.586363,-144.150000,-135.000000,bottom
"R3","10k","R_0402_1005Metric",-126.243000,-137.802000,-90.000000,bottom
"R4","36k5","R_0603_1608Metric",-110.876000,-125.545000,90.000000,bottom
"R5","1k","R_0603_1608Metric",-113.021800,-164.114400,180.000000,bottom
"R6","100k","R_0402_1005Metric",-80.162376,-156.108376,-45.000000,bottom
"R7","100k","R_0402_1005Metric",-104.780000,-106.558000,0.000000,bottom
"R8","100k","R_0402_1005Metric",-97.363200,-134.650400,0.000000,bottom
"R9","100k","R_0402_1005Metric",-91.978400,-136.680400,-90.000000,bottom
"R10","100k","R_0402_1005Metric",-95.529376,-155.981376,-45.000000,bottom
"R11","100k","R_0402_1005Metric",-109.352000,-107.064000,90.000000,bottom
"R12","100k","R_0402_1005Metric",-109.352000,-135.156400,90.000000,bottom
"R13","100k","R_0402_1005Metric",-103.154400,-136.680400,-90.000000,bottom
"R14","100k","R_0402_1005Metric",-107.680624,-156.108376,-135.000000,bottom
"R15","100k","R_0402_1005Metric",-133.228000,-107.068000,90.000000,bottom
"R16","100k","R_0402_1005Metric",-131.856400,-139.705000,-90.000000,bottom
"R17","100k","R_0402_1005Metric",-103.205200,-140.443600,90.000000,bottom
"R18","100k","R_0402_1005Metric",-152.534000,-106.558000,180.000000,bottom
"R19","100k","R_0402_1005Metric",-138.970400,-140.238400,180.000000,bottom
"R20","100k","R_0402_1005Metric",-123.047624,-156.235376,-135.000000,bottom
"R21","200k","R_0603_1608Metric",-126.561000,-88.270000,0.000000,bottom
"R22","200k","R_0603_1608Metric",-113.543000,-88.270000,180.000000,bottom
"R23","200k","R_0603_1608Metric",-125.735000,-92.524000,-90.000000,bottom
"R30","100k","R_0402_1005Metric",-111.511000,-88.776000,90.000000,bottom
"R31","100k","R_0402_1005Metric",-117.022800,-139.781200,90.000000,bottom
"R32","100k","R_0402_1005Metric",-127.386000,-91.189000,90.000000,bottom
"R33","200k","R_0603_1608Metric",-115.498800,-138.269400,-90.000000,bottom
"R34","200k","R_0603_1608Metric",-114.305000,-92.397000,-90.000000,bottom
"R35","1k","R_0603_1608Metric",-119.359600,-132.415200,0.000000,bottom
"R36","1k","R_0603_1608Metric",-95.318000,-145.039000,180.000000,bottom
"R37","100k","R_0402_1005Metric",-139.374800,-152.278000,-90.000000,bottom
"R38","100k","R_0402_1005Metric",-144.200800,-153.751200,180.000000,bottom
"R39","100k","R_0402_1005Metric",-149.179200,-147.604400,-90.000000,bottom
"R40","1k","R_0603_1608Metric",-92.842000,-164.661000,-90.000000,bottom
"R42","1k","R_0603_1608Metric",-124.338000,-132.364400,180.000000,bottom
"R43","200k","R_0603_1608Metric",-116.057600,-133.165000,90.000000,bottom
"R57","100k","R_0402_1005Metric",-92.029200,-140.494400,90.000000,bottom
"R59","100k","R_0402_1005Metric",-133.228000,-85.474000,-90.000000,bottom
"R60","100k","R_0402_1005Metric",-153.673000,-85.984000,180.000000,bottom
"R63","100k","R_0402_1005Metric",-88.907000,-85.984000,0.000000,bottom
"R64","100k","R_0402_1005Metric",-109.352000,-85.474000,-90.000000,bottom
"R74","36k5","R_0603_1608Metric",-152.024000,-152.684400,90.000000,bottom
"R76","22k","R_0603_1608Metric",-150.500000,-152.684400,-90.000000,bottom
"R78","1k","R_0603_1608Metric",-124.096200,-171.582000,180.000000,bottom
"R79","1k","R_0603_1608Metric",-138.562000,-164.774800,-90.000000,bottom
"U1","TL074","TSSOP-14_4.4x5mm_P0.65mm",-121.729500,-135.971200,0.000000,bottom
"U9","TL074","TSSOP-14_4.4x5mm_P0.65mm",-120.037700,-89.844800,180.000000,bottom
"U10","TL074","TSSOP-14_4.4x5mm_P0.65mm",-144.777300,-149.890400,180.000000,bottom
"U11","TL074","TSSOP-14_4.4x5mm_P0.65mm",-97.497900,-138.593200,0.000000,bottom
